,Institución,Código Único,Nombre del establecimiento,Clasificación,Tipo,Departamento,Provincia,Distrito,UBIGEO,Dirección,Código DISA,Código Red,Código Microrred,DISA,Red,Microrred,Código UE,Unidad Ejecutora,Categoria,Teléfono,Tipo Doc.Categorización,Nro.Doc.Categorización,Horario,Inicio de Actividad,Director Médico y/o Responsable de la Atención de Salud,Estado,Situación,Condición,Inspección,NORTE,ESTE,COTA,CAMAS,lon,lat
11036,GOBIERNO REGIONAL,4140,HOSPITAL CHINCHEROS,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,APURIMAC,CHINCHEROS,CHINCHEROS,30601,AV. FERNANDO B. TERRY S/N,3,4,1,APURIMAC,COCHARCAS,URIPA,1497,VIRGEN DE COCHARCAS - CHINCHEROS,II-1,083-835026,RESOLUCIÓN,,24 HORAS,05/05/1998,RAULINS KURT RAMIREZ GUTIERREZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-73.71802,-13.51834,2833.9,23.0,-73.71802,-13.51834
11046,ESSALUD,10272,HOSPITAL II CAJAMARCA,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,AV. MARIO URTEAGA NO  S/N,7,0,0,CAJAMARCA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-2,076-362557,RESOLUCIÓN,,24 HORAS,01/01/1989,JORGE BARSALLO GONZALES ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.50902167,-7.15988333,2705.1,,-78.50902167,-7.15988333
11332,MINSA,6214,HOSPITAL VICTOR LARCO HERRERA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,MAGDALENA DEL MAR,150120,AV.AUGUSTO PEREZ ARANIBAR N° 600,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,148,HOSPITAL NACIONAL VICTOR LARCO HERRERA,III-1,2615516,RESOLUCIÓN,RD 463 DG -DESI -DSS-DIRESA -L -2010,24 HORAS,17/06/1966,EDWARD DENNIS MANDARE DURAN ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.065756,-12.098705,,590.0,-77.065756,-12.098705
11713,GOBIERNO REGIONAL,6732,HOSPITAL DE RIOJA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,SAN MARTIN,RIOJA,RIOJA,220801,JR. VENECIA S/N,30,6,0,SAN MARTIN,RIOJA,NO PERTENECE A NINGUNA MICRORED,1058,SALUD ALTO MAYO,II-1,042-559508,RESOLUCIÓN,,24 HORAS,01/01/1900,YESENIA RUIZ LOPEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.1699847,-6.05595848,838.0,50.0,-77.1699847,-6.05595848
11726,GOBIERNO REGIONAL,6502,HOSPITAL BELLAVISTA,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,SAN MARTIN,BELLAVISTA,BELLAVISTA,220201,JR. ANCASH-CRUCE CON APURIMAC,30,9,1,SAN MARTIN,BELLAVISTA,BELLAVISTA,1059,SALUD HUALLAGA CENTRAL,II-E,042-544664,RESOLUCIÓN,RD N° 361-2013-GRSM/DIRES-SM/DIREFISA,24 HORAS,01/01/1900,MAX SHAPIAMA DIAZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.58256361,-7.05457844,327.0,10.0,-76.58256361,-7.05457844
11866,GOBIERNO REGIONAL,5296,DISTRITAL DE PACASMAYO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,PACASMAYO,PACASMAYO,130704,JIRÓN JIRON RAZURI S/N NÚMERO S/N DISTRITO PACASMAYO PROVINCIA PACASMAYO DEPARTAMENTO LA LIBERTAD ,18,4,3,LA LIBERTAD,RED PACASMAYO,PACASMAYO,850,SALUD PACASMAYO,II-1,044-400490,RESOLUCIÓN,333,8:00 - 20:00,16/06/2014,JORGE AURELIO REBAZA VALVERDE ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.56932667,-7.39878167,20.6,8.0,-79.56932667,-7.39878167
11914,ESSALUD,11020,HOSPITAL II LUIS HEYSEN INCHAUSTEGUI,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LAMBAYEQUE,CHICLAYO,PIMENTEL,140112,KM. 3.5 CARRETERA CHICLAYO-PIMENTEL,19,0,0,LAMBAYEQUE,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,074-208035,RESOLUCIÓN,,24 HORAS,18/02/2010,MANUEL WILFREDO SORIA ALVARADO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.879685,-6.78766167,38.5,117.0,-79.879685,-6.78766167
12020,ESSALUD,9900,HOSPITAL I LAMPA - ESSALUD - RED ASISTENCIAL JULIACA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PUNO,LAMPA,LAMPA,210701,JR. ALFONSO UGARTE 124 - LAMPA.,29,0,0,PUNO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,051-795251,RESOLUCIÓN,,24 HORAS,09/07/1990,ELMER MACEDONIO MONTAÑEZ AGRAMONTE ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-70.36700167,-15.36421167,3838.2,11.0,-70.36700167,-15.36421167
12144,MINSA,6207,NACIONAL ARZOBISPO LOAYZA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,LIMA,150101,AV. ALFONSO UGARTE 848,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,143,HOSPITAL NACIONAL ARZOBISPO LOAYZA,III-1,6144646,RESOLUCIÓN,RD 463 DG -DESI -DSS-DIRESA -L -2010,24 HORAS,10/12/1924,ALEXANDER ADONIAS ESPINOZA VARGAS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0425597,-12.0498454,,662.0,-77.0425597,-12.0498454
12190,ESSALUD,10063,HOSPITAL ESSALUD SICUANI,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CUSCO,CANCHIS,SICUANI,80601,AVENIDA EL SOL N° 501 LA BOMBONERA / SICUANI / CANCHIS / CUSCO,11,0,0,CUSCO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,084-351299,RESOLUCIÓN,,CONSULTA EXTERNA 8:0,24/09/1974,ELOINA SAYDA HUSNAYO ZEVALLOS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-71.22872075,-14.2657015,3585.588,18.0,-71.22872075,-14.2657015
12501,GOBIERNO REGIONAL,3543,"HOSPITAL REGIONAL DE AYACUCHO ""MIGUEL ANGEL MARISCAL LLERENA""",HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AYACUCHO,HUAMANGA,AYACUCHO,50101,JIRÓN INDEPENDENCIA Nº355 URB. MARISCAL CACERES,5,0,0,AYACUCHO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1024,HOSPITAL HUAMANGA,II-2,066-312380,RESOLUCIÓN,,24 HORAS,25/05/1964,MARILU FRANCISCA OBANDO CORZO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.223365,-13.15179,2788.4,211.0,-74.223365,-13.15179
12568,ESSALUD,11775,HOSPITAL II HUAMANGA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,50110,AV. VENEZUELA S/N,5,0,0,AYACUCHO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,066-312939,RESOLUCIÓN,,24 HORAS,13/07/1987,HUGO VIDALON PALOMINO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.200145,-13.17518167,2778.5,66.0,-74.200145,-13.17518167
12641,GOBIERNO REGIONAL,1652,LA CALETA,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ANCASH,SANTA,CHIMBOTE,21801,AV. MALECON GRAU S/N URB. LA CALETA,2,0,0,ANCASH,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,743,REGION ANCASH-SALUD LA CALETA,II-2,043-322281,RESOLUCIÓN,739-2006-REGION-ANCASH-DIRES/DIPER,24 HORAS,15/05/1945,RICARDO ZENON AGUIRRE FLORES ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.6017774,-9.07562297,25.0,110.0,-78.6017774,-9.07562297
12797,GOBIERNO REGIONAL,4838,HOSPITAL REGIONAL VIRGEN DE FATIMA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,10101,JIRON TRIUNFO Nº 035,1,0,0,AMAZONAS,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,998,REGION AMAZONAS-HOSPITAL DE APOYO CHACHAPOYAS,II-2,041-811232,RESOLUCIÓN,,24 HORAS,01/04/2011,CARLOS MARTIN TORRES SANTILLAN ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.866165,-6.23079333,2388.6,122.0,-77.866165,-6.23079333
12976,GOBIERNO REGIONAL,4131,HOSPITAL SUBREGIONAL DE ANDAHUAYLAS,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,30201,JIRÓN HUGO PESCE N° 180 JR. HUGO PESCE N° 180 ANDAHUAYLAS ANDAHUAYLAS APURIMAC ,3,0,0,APURIMAC,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1038,HOSPITAL SUB REGIONAL DE ANDAHUAYLAS,II-2,083-421020,RESOLUCIÓN,RD 30-2013-DG-DEGDRRHH-DISA AP-II,24 HORAS,01/01/1946,WILBER WALTER ROMERO ORTIZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-73.38199121,-13.65777423,2951.0,125.0,-73.38199121,-13.65777423
12989,GOBIERNO REGIONAL,4440,HOSPITAL REFERENCIAL FERREÑAFE,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,140201,AV. AUGUSTO B. LEGUIA Nº 600,19,2,1,LAMBAYEQUE,FERREÐAFE,FERREÑAFE,860,SALUD LAMBAYEQUE,II-1,074-286533,RESOLUCIÓN,,24 HORAS,01/01/1994,ESTHER LILIANA CHUMIOQUE LUJAN ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.78884283,-6.6424109,46.0,37.0,-79.78884283,-6.6424109
12992,GOBIERNO REGIONAL,2378,SICUANI,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CUSCO,CANCHIS,SICUANI,80601,AVENIDA AV. MANUEL CALLO ZEBALOS S/N S/N AV. MANUEL CALLO ZEBALOS S/N SICUANI CANCHIS CUSCO ,11,4,4,CUSCO,CANAS-CANCHIS-ESPINAR,TECHO OBRERO,1625,GOB. REG. DPTO. CUSCO-HOSP. ALFREDO CALLO RODRIGUEZ-SICUANI-CANCHIS,II-1,084-277297,RESOLUCIÓN,,08:00-14:00 HORAS DE,15/01/1976,JOSE JUNIOR CENTENO ARISPE ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-71.22877733,-14.26562521,3575.329,80.0,-71.22877733,-14.26562521
13071,ESSALUD,8489,ESSALUD - HOSPITAL II SUÁREZ ANGAMOS,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,MIRAFLORES,150122,AV. ANGAMOS ESTE Nº 261,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-2,2411950,RESOLUCIÓN,,08:00 - 20:00,30/09/1984,ALEJANDRO OLIVARES VALDIVIA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0279933,-12.1136234,,84.0,-77.0279933,-12.1136234
13105,ESSALUD,8656,HOSPITAL I SELVA CENTRAL Y ENFERMEDADES TROPICALES LA MERCED,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,JUNIN,CHANCHAMAYO,CHANCHAMAYO,120301,JR. LOS CAUCHOS Nº 223-271 Y JR. LOS ROBLES Nº 527,17,0,0,JUNIN,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,064-531408,RESOLUCIÓN,,07:00  18:00,22/01/1999,MARCO ERNESTO LANATTA LANATTA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.3375,-11.05836667,842.6,19.0,-75.3375,-11.05836667
13244,GOBIERNO REGIONAL,2161,HOSPITAL DE APOYO CHULUCANAS,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PIURA,MORROPON,CHULUCANAS,200401,CALLE DANIEL ALCIDES CARRION S/N VATE MANRIQUE,28,3,1,PIURA,MORROPON CHULUCANAS,CHULUCANAS,1116,HOSPITAL DE APOYO I CHULUCANAS,II-1,073-378571,RESOLUCIÓN,,24 HORAS,01/12/1958,CARLOS EDUARDO BAYONA UBILLUS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-80.17076507,-5.10300073,102.0,68.0,-80.17076507,-5.10300073
13285,GOBIERNO REGIONAL,6219,HOSPITAL SAN JOSE,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,70103,JIRÓN LAS MAGNOLIAS 475 DISTRITO CARMEN DE LA LEGUA-REYNOSO PROVINCIA CALLAO DEPARTAMENTO CALLAO ,8,2,0,CALLAO,BEPECA,NO PERTENECE A NINGUNA MICRORED,1318,HOSPITAL DE APOYO SAN JOSE,II-2,3197830,RESOLUCIÓN,RD463 DG -DESI -DSS-DIRESA -L -2010,24 HORAS,01/06/1975,ZORAIDA JENIE CAROLA DEXTRE UBALDO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.09846168,-12.04273444,69.676,73.0,-77.09846168,-12.04273444
13359,GOBIERNO REGIONAL,7719,HOSPITAL REGIONAL GUILLERMO DIAZ DE LA VEGA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,APURIMAC,ABANCAY,ABANCAY,30101,AV DANIEL ALCIDES CARRION S/N,3,0,0,APURIMAC,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1037,HOSPITAL GUILLERMO DIAZ DE LA VEGA - ABANCAY,II-2,321108,RESOLUCIÓN,357-2014-DG-DIRESA-AP,24 HORAS,20/11/1963,LUIS BELTRAN BARRA PACHECO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-72.8819806,-13.64034611,2390.3,180.0,-72.8819806,-13.64034611
13385,GOBIERNO REGIONAL,4466,DE APOYO CELENDIN,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CAJAMARCA,CELENDIN,CELENDIN,60301,AV. TUPAC AMARU S/N,7,4,1,CAJAMARCA,CELENDIN,CELENDIN,785,REGION CAJAMARCA-SALUD CAJAMARCA,II-1,NO CUENTA CON TELEFONO,RESOLUCIÓN,,24 HORAS,01/01/1997,ALAN ALBERTO ANGELES GUEVARA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.14889,-6.86815,2620.0,18.0,-78.14889,-6.86815
13438,GOBIERNO REGIONAL,7135,ESPINAR,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CUSCO,ESPINAR,ESPINAR,80801,"CALLE DOMINGO HUARCA CRUZ S/N, BARRIO TUPAC AMARU / ESPINAR / ESPINAR / CUSCO S/N CALLE DOMINGO HUARCA CRUZ S/N, BARRIO TUPAC AMARU / ESPINAR / ESPINAR / CUSCO ESPINAR ESPINAR CUSCO ",11,4,6,CUSCO,CANAS-CANCHIS-ESPINAR,YAURI,1547,HOSPITAL DE ESPINAR,II-1,084-301014,RESOLUCIÓN,,CONSULTA EXTERNA 8:0,01/01/2007,EFRAIN ALCAZAR GOMEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-71.40406571,-14.79064072,3940.66,32.0,-71.40406571,-14.79064072
13457,GOBIERNO REGIONAL,5299,HOSPITAL DE APOYO CHEPEN,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,CHEPEN,CHEPEN,130401,AVENIDA AV. 28 DE JULIO S/N NÚMERO S/N DISTRITO CHEPEN PROVINCIA CHEPEN DEPARTAMENTO LA LIBERTAD ,18,1,0,LA LIBERTAD,RED CHEPEN,NO PERTENECE A NINGUNA MICRORED,849,SALUD CHEPEN,II-1,TEL: 044-562730,RESOLUCIÓN,1609,24 HORAS,09/10/1966,GERARDO CARLOS ALBERTO FLORIAN GOMEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.43528369,-7.22198826,111.0,109.0,-79.43528369,-7.22198826
13471,ESSALUD,11409,HOSPITAL III IQUITOS,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LORETO,MAYNAS,PUNCHANA,160108,AVENIDA LA MARINA S/N,24,0,0,LORETO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,III-1,065-250270,RESOLUCIÓN,,24 HORAS,24/03/2000,NILDA ESTHER SEOANE AURICH ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-73.2439423,-3.7188408,,116.0,-73.2439423,-3.7188408
13485,GOBIERNO REGIONAL,7637,HOSPITAL SAN JUAN BAUTISTA HUARAL,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,HUARAL,HUARAL,150601,CALLE CALLE TACNA Nº 120 URB. SAN JUAN I DISTRITO HUARAL PROVINCIA HUARAL DEPARTAMENTO LIMA ,22,3,0,LIMA,RED III HUARAL - CHANCAY,NO PERTENECE A NINGUNA MICRORED,1292,HOSPITAL HUARAL Y SERVICIOS BASICOS DE SALUD,II-2,246-2990; 246-1038,RESOLUCIÓN,RD 463 DG -DESI -DSS-DIRESA -L -2010,LUNES A DOMINGO LAS ,06/03/1985,VICTOR EDUARDO BACINI PEREZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.21380309,-11.50329771,183.0,86.0,-77.21380309,-11.50329771
13590,ESSALUD,8835,HOSPITAL I NAYLAMP,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,AV BOLOGNESI 200,19,0,0,LAMBAYEQUE,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,074-227980,RESOLUCIÓN,,8:00  -  20:00,19/10/1999,ABEL SANCHEZ MEDINA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.84251333,-6.77602833,37.1,,-79.84251333,-6.77602833
13595,ESSALUD,9132,HOSPITAL II HUANCAVELICA,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,HUANCAVELICA,HUANCAVELICA,ASCENSION,90118,AV. FELIX R. CRISPIN VARGAS S/N,13,0,0,HUANCAVELICA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,067-453491 - RPM #980148,RESOLUCIÓN,,LUNES A SABADO 8:00 ,11/01/1988,ETHEL VIDALON SOLDEVILLA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.9890025,-12.7832573,3715.0,25.0,-74.9890025,-12.7832573
13701,GOBIERNO REGIONAL,3575,HOSPITAL DE APOYO JESUS NAZARENO,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AYACUCHO,HUAMANGA,JESUS NAZARENO,50115,JR. CIRO ALEGRIA Nº 800,5,1,0,AYACUCHO,HUAMANGA,NO PERTENECE A NINGUNA MICRORED,1362,RED DE SALUD HUAMANGA,II-E,066-315419,RESOLUCIÓN,RD 734-2009-GORE-ICA-DRSA-DG,24 HORAS,09/10/1996,JOHN ROBERT TINCO BAUTISTA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.21409269,-13.15537122,2790.0,24.0,-74.21409269,-13.15537122
13746,SANIDAD DE LA MARINA DE GUERRA DEL PERU,8266,CENTRO MEDICO NAVAL CIRUJANO MAYOR SANTIAGO TAVARA,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CALLAO,CALLAO,BELLAVISTA,70102,AV. VENEZUELA S/N,8,0,0,CALLAO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,III-1,01-2245414,RESOLUCIÓN,916-2012-GRC,24 HORAS,06/05/1960,HUGO EUGENIO GALLO SEMINARIO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0901374,-12.0617901,,424.0,-77.0901374,-12.0617901
13873,ESSALUD,11337,HOSPITAL II GUSTAVO LANATTA LUJAN - ESSALUD,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,HUAURA,HUACHO,150801,AVENIDA FRANCISCO VIDAL Nº 707,22,0,0,LIMA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-2,01-2321771 /  01-2324700,RESOLUCIÓN,,24 HORAS,16/11/1941,CESAR WILLIAM DIAZ GAMARRA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.6091848,-11.1133442,,117.0,-77.6091848,-11.1133442
14466,ESSALUD,13296,HOSPITAL I EDMUNDO ESCOMEL,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AREQUIPA,AREQUIPA,PAUCARPATA,40112,AV. CAYRO S/N,4,0,0,AREQUIPA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,I-4,054-460712,RESOLUCIÓN,,7.00 - 19.00,27/03/1998,ANGEL LEONARDO CALLE BELLIDO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-71.5086748,-16.4170111,,48.0,-71.5086748,-16.4170111
14539,GOBIERNO REGIONAL,2698,SANTA ROSA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101,JR. CAJAMARCA Nº 171,25,1,0,MADRE DE DIOS,MADRE DE DIOS,NO PERTENECE A NINGUNA MICRORED,1003,HOSPITAL SANTA ROSA DE PUERTO MALDONADO,II-2,082-571046,RESOLUCIÓN,209-2005-DRS-GR-MDD/DG,24 HORAS,30/08/1947,LUIS HUMBERTO CHAVEZ CELIS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-69.18308833,-12.60136167,176.5,95.0,-69.18308833,-12.60136167
14545,SANIDAD DE LA FUERZA AEREA DEL PERU,10751,FUERZA AEREA DEL PERU,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,MIRAFLORES,150122,AV. ARAMBURU 2DA. CUADRA S/N,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,III-1,01-5134300,RESOLUCIÓN,,24 HORAS,08/07/1971,JULIO CECILIO ESPINOZA GARCIA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.029825,-12.10342333,116.1,283.0,-77.029825,-12.10342333
14741,GOBIERNO REGIONAL,16721,HOSPITAL CENTRAL DE MAJES- ANGEL GABRIEL CHURA GALLEGOS,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AREQUIPA,CAYLLOMA,MAJES,40520,ASENTAMIENTO B-1 LOTE 1 IRRIGACIÓN MAJES,4,3,0,AREQUIPA,AREQUIPA CAYLLOMA,NO PERTENECE A NINGUNA MICRORED,1657,REG. AREQUIPA - HOSPITAL CENTRAL DE MAJES ING. ANGEL GABRIEL CHURA GALLEGOS,II-1,054-202279,RESOLUCIÓN,1164-2013-GRA/GRS/GR-DESP,24 HORAS,01/05/2013,GILBERTO RAFAEL GALLEGOS RAMOS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-72.22118986,-16.32091929,1472.0,51.0,-72.22118986,-16.32091929
14832,MINSA,7632,HOSPITAL CARLOS LANFRANCO LA HOZ,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,PUENTE PIEDRA,150125,AV. SAENZ PEÑA - CUADRA 6 S/N,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,522,HOSPITAL CARLOS LANFRANCO LA HOZ,II-2,5481799 / 5481898,RESOLUCIÓN,,24 HORAS,17/09/1971,HERNAN AUBERTO SOLIS VERDE ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.079335,-11.8631805,,102.0,-77.079335,-11.8631805
15093,MINSA,7734,"INSTITUTO NACIONAL DE REHABILITACION ""DRA. ADRIANA REBAZA FLORES"" AMISTAD PERU - JAPON",HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,CHORRILLOS,150108,AVENIDA AV. DEFENSORES DEL MORRO N° 213 - 215 DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA ,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,125,INSTITUTO NACIONAL DE REHABILITACION,III-E,01-7173200,RESOLUCIÓN,R.A. 798-2015-DESP-DISA-II-LS.pdf,24 HRS.,11/05/2009,MARIA DEL CARMEN RODRIGUEZ RAMIREZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0037655,-12.192758,,36.0,-77.0037655,-12.192758
